Nom,Type,Latitude,Longitude,Superficie_m2
,,3965326.144239856,787839.7877487664,9141.423517858437
,,3961434.210126683,792443.5682914278,514368.64735069993
,,3959920.125231069,790444.6497126825,275047.1128203253
,,3965446.4033710994,786287.2641505313,71369.2357317185
,park,3963471.5714878608,791166.0906050897,52703.86743205689
,garden,3963992.4173618415,788937.7052877139,12760.470758292811
,,3964651.3042340395,787722.1077898784,34008.570231981124
Jardins de la Mendoubia,park,3964801.090343331,787930.0723289582,37696.14886695885
,garden,3964053.6068462078,787211.606202242,156324.77874192983
,golf_course,3963335.3030466726,784872.6641054159,636962.4136024975
,pitch,3962668.3551840237,788225.638614366,7188.420392875609
,park,3963776.1838832367,787510.5103832851,12035.903117923095
,,3966012.996713283,794051.5234082446,162773.05756438247
,,3966036.3541905773,793610.4683707886,237020.01075272678
,park,3963509.407536084,789106.4223112281,552.2904343084759
,pitch,3963476.129960692,787045.5248533831,710.7323309380192
,,3968880.1514802775,795339.565751936,34470.47195831391
,park,3963843.0966298464,790135.1807162758,19158.659166278987
,park,3963211.664884669,788518.2559190537,1357.1195879380834
,park,3963258.341569281,788408.4387645716,8779.385404995735
,,3963610.143201795,782721.1243307511,125345.85508900856
,,3965616.0720591354,786917.8329427536,19296.095940066716
,,3962732.262114765,781129.7751567381,833773.9792053397
,,3963902.4715717766,785661.8013363078,22877.916247372235
,,3965830.653031175,782997.8119775548,196602.46122936995
,,3965649.5832577175,786482.8096287808,7133.968215738062
,,3965727.830630326,786719.3085231415,21351.458083860445
,,3963205.1819913075,783278.8591881314,32866.600605201944
,,3966022.6926865727,784858.0799908059,105786.5114860199
Parc Perdicaris,park,3964886.9546732376,781385.1622234305,10618681.57718423
,,3962171.38811182,782759.0502655093,2787659.447211377
,,3965836.447855625,785481.3951889838,171360.92021137796
,,3964229.6264857706,795041.6432100299,1028728.1486039871
,garden,3962091.2460860354,786827.6855949836,2615.7695133071143
,park,3964543.432637296,787808.9562274126,14429.360073635085
,pitch,3959793.340935845,784147.3269455559,7876.005403124412
,park,3964311.093685548,787627.4782999394,5533.826200387344
,park,3965332.681842471,788104.7289647689,24573.844527565878
,,3965291.892127824,788066.2112462206,24455.861594425776
,,3961047.272311799,796683.4950563582,15.319177329023272
,garden,3965345.8204131513,786896.3301205096,36610.76947270317
,,3964101.6588124894,792934.3351161571,68303.34093334414
,,3964333.0871542348,778514.4674498864,3414353.2553705038
,,3967817.7105501164,794343.1302235114,102281.28174779349
,,3964083.3672402212,791894.1845143969,38769.451638351326
,park,3963736.5239773705,788241.9145601277,2818.135311111362
,pitch,3960057.165329751,783847.0571202277,7426.201637544655
,,3959611.4506607107,796306.2662349581,17613.37419207576
,park,3964362.981418183,788217.5589073815,6791.356717061785
,,3961381.9563704687,780639.1423384589,136975.31829657944
,pitch,3961730.907522244,790168.1952516326,2125.110068974066
,park,3961446.076727449,786528.5712086306,8461.591277977635
,park,3961872.2081683828,788290.1195793359,4964.015139327148
,park,3962473.912955294,789135.046606496,4997.77695809268
,park,3962330.6486852537,789240.0088985779,3486.273497208237
,,3964714.5192877282,788088.7753592369,341.8801669843428
,,3964734.8777512563,788077.1639940661,115.01658956738915
,,3964723.124621428,788035.6761351031,434.99875665325527
,,3964699.9117274648,788019.7334945208,72.21693211383149
,,3964694.565034146,788045.7087891656,466.10305798122045
,park,3964701.6161553287,787932.3947429579,1944.1140272563293
,,3964465.5779883857,788179.7175938983,5961.00488717755
,,3964517.3989821784,787936.1641736936,2038.8184733318806
,,3964444.5995298866,787935.2825611092,774.2339611671559
,,3964378.234603633,788076.0492404175,404.8200575881131
,,3965385.0119565725,787372.7194018036,3984.537694511994
,,3964196.4667919073,788563.0086027202,44.45199764740187
,,3964189.9474602756,788553.845000534,69.15278596117608
,park,3964454.351359854,787840.9849017058,925.3899677271467
,,3963709.78466953,788303.7271251188,549.5482060797236
,park,3963592.2193210972,788494.2447160834,13870.438639095855
,,3963799.491066708,789527.2377664285,5773.458957698011
,,3963861.2935311906,789437.8002716627,2601.7090336409133
,,3963730.595105562,789607.0126914872,1478.1168256053975
,park,3964767.222148064,787303.9590609481,1479.8882346210166
,,3964578.49593511,787900.0905450674,1435.1521259488982
,pitch,3960111.8945357287,783895.4369119359,7546.982784202667
,,3968450.1179698408,793809.3489970667,85173.1235056957
,park,3962353.3270422113,787941.4028569134,56509.062831671654
